accid,lighttreatment,lightintensity,curve_type,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd
LA0407-L,shade,low,pseudohypo,2.9691705123837617,-2.4141225209897423,-0.05290266339514,0.04861501761676453,5.6009188753,0.05986179235548273
LA0407-L,shade,high,pseudohypo,2.9691705123837617,-1.8136749920238058,0.09246340762,0.016599704798540563,5.6477605531,0.013407183716808938
LA0407-M,sun,low,amphi,2.858799222588137,-3.4160628051658346,0.06394907995,0.009459173221645181,4.4023038549,0.007182669625073872
LA0407-M,sun,high,amphi,2.858799222588137,-2.4299486183753385,0.19495467642,0.007004179413746377,5.2429226984,0.005027369072292851
LA0407-M,sun,low,pseudohypo,2.804901931678735,-3.1437667508772225,-0.122763339224,0.0355981254886372,4.5343558781,0.031034084827056246
LA0407-M,sun,high,pseudohypo,2.804901931678735,-2.666801503320285,0.0655511653606,0.017890736011463102,4.8287925903,0.01330613108701401
LA0407-N,shade,low,amphi,2.8745192862066533,-1.7419693137686219,0.20148391051,0.013506309472424207,4.8028266392,0.0077034737351620525
LA0407-N,shade,high,amphi,2.8745192862066533,-1.781155905688809,0.20814081845,0.022236960875929065,4.5521887627,0.01423718583438039
LA0407-N,shade,low,pseudohypo,2.7566713644335668,-2.115026853744043,0.16450737344,0.009151599697229066,4.7892759533,0.005890748088189443
LA0407-N,shade,high,pseudohypo,2.7566713644335668,-1.6616435729669634,0.41741557535,0.013877055704642958,4.9282287204,0.006734304441448575
LA0407-O,shade,low,amphi,2.961439888922614,-2.3193168069075543,0.15534652383,0.014400259354913182,4.9012748915,0.008521733414047746
LA0407-O,shade,high,amphi,2.961439888922614,-1.3330784508798208,0.120191174873,0.01570208323233054,5.4132673819,0.011452499944086954
LA0407-O,shade,low,pseudohypo,2.9126606661660377,-1.8404297687527449,0.04777881246746,0.018886565933425612,5.0935375347,0.014006682894725633
LA0407-O,shade,high,pseudohypo,2.9126606661660377,-1.2036400877513684,0.19036299783,0.010114710576391633,5.0808870719,0.006525478564902451
LA0407-R,shade,low,amphi,2.7426784678892924,-2.415311714548624,0.1791270134,0.017158747817321705,5.1654862597,0.012218187817707454
LA0407-R,shade,high,amphi,2.7426784678892924,-1.8403176276790698,0.224603307965,0.027105041600103446,5.2058726695,0.01953781286679084
LA0407-R,shade,low,pseudohypo,2.675752468895229,-2.5562357873164987,0.19935323975,0.018464462891340287,5.4860834447,0.014723688815544441
LA0407-R,shade,high,pseudohypo,2.675752468895229,-1.7801851956702446,0.101036571277,0.02126242274649,5.6228225185,0.020207479321002305
LA0407-S,shade,low,amphi,2.741028053597206,-2.3471429414715907,0.37889112747,0.022489008344540488,5.7041697053,0.012633131002940615
LA0407-S,shade,high,amphi,2.741028053597206,-1.947370736773092,0.03816247929458,0.014440977858214172,5.5399027239,0.013809231690864303
LA0407-S,shade,low,pseudohypo,2.7061131058068164,-2.198076347463037,0.28165158867,0.014593537027941443,5.1790042604,0.00877980213379439
LA0407-S,shade,high,pseudohypo,2.7061131058068164,-1.9318396021348758,0.37894721774,0.02420576737879343,5.0302350595,0.011849738915072554
LA0407-T,shade,low,amphi,2.7771154627166075,-2.8778622050597185,0.15648174716,0.00789180883507039,4.804319353,0.005056144760422652
LA0407-T,shade,high,amphi,2.7771154627166075,-2.2109026051416936,0.21833804975999999,0.01873517390834948,5.0786013322,0.011936183335523223
LA0407-T,shade,low,pseudohypo,2.7418732784073563,-2.776685173963823,0.0643295268645,0.020322472098014934,5.4846500907,0.019760694933610087
LA0407-T,shade,high,pseudohypo,2.7418732784073563,-2.2743278808645226,-0.068994713158,0.018399230889485432,5.3612013721,0.01898662418516361
LA0407-U,sun,low,amphi,2.9068396673074193,-3.5613462705439707,0.079010915086,0.006302266645802482,4.8084389364,0.00486994742282871
LA0407-U,sun,high,amphi,2.9068396673074193,-2.4421602339857924,0.1899017825,0.005500380774249386,5.1750754515,0.0038198294922087033
LA0407-U,sun,low,pseudohypo,2.8058543900263895,-3.540131874238202,0.15318575309,0.009491539203649082,4.6167871022,0.006282349763644796
LA0407-U,sun,high,pseudohypo,2.8058543900263895,-2.3550264861332812,0.55322881797,0.013583101069086672,5.2434862582,0.005869326246988342
LA0407-V,sun,low,amphi,2.8739867599667392,-2.630178181095743,0.32636893191,0.014735861782347537,5.1363106131,0.008071568261030252
LA0407-V,sun,high,amphi,2.8739867599667392,-1.7820697933174525,0.3367698963,0.023459203233590326,5.7238039626,0.015051886219743137
LA0407-V,sun,low,pseudohypo,2.767989880498325,-2.7979235107368456,0.099067284873,0.014935801452889242,5.0348676665,0.011299031571378106
LA0407-V,sun,high,pseudohypo,2.767989880498325,-1.8573505798441643,0.27833000941,0.016629018804463165,5.5133643419,0.009858652191596443
LA0407-W,sun,low,amphi,2.80519364210655,-3.336358803936096,0.39999487669,0.010529344580083621,5.2388510712,0.0059570811842584726
LA0407-W,sun,high,amphi,2.80519364210655,-2.7767616791472487,0.39033457638,0.009505535128393404,5.3946297363,0.005137814960888006
LA0407-W,sun,low,pseudohypo,2.752015177154388,-3.4382021569557764,0.1731178391,0.012331928009938849,4.7829409572,0.007192713386510577
LA0407-W,sun,high,pseudohypo,2.752015177154388,-2.989175710072773,0.46778742723,0.011237608093548348,5.2775439013,0.005523616883987277
LA0407-X,shade,low,amphi,2.7347438116499476,-2.518237974739241,0.20865949846,0.010422810452870553,4.913175078,0.006273902748732767
LA0407-X,shade,high,amphi,2.7347438116499476,-1.8701721712115955,0.41382564618,0.017195867604606778,5.1423917098,0.008191407508040776
LA0407-X,shade,low,pseudohypo,2.6963366302717087,-2.4853869431118523,0.28536879752,0.02443508370435354,5.4870920516,0.014542007539833908
LA0407-X,shade,high,pseudohypo,2.6963366302717087,-1.9623032840416963,0.154072837282,0.013298368159659454,5.6491636335,0.011936583361283446
LA0407-Y,sun,low,amphi,2.834691295702779,-3.6857883323871135,-0.044522775082,0.007286977535543106,4.3496808829999996,0.005700192465569501
LA0407-Y,sun,high,amphi,2.834691295702779,-2.1633710406497797,0.32661414949,0.016411477084602766,5.116528326,0.009394502590233387
LA0407-Y,sun,low,pseudohypo,2.780127555843648,-3.696961316643754,-0.10789657350700001,0.025369372956192335,4.5202050388,0.019530652432217493
LA0407-Y,sun,high,pseudohypo,2.780127555843648,-2.277757846222098,0.41813471899,0.014168362378694723,4.9791922453,0.007176323445622705
LA0429-A,shade,low,amphi,2.9565413147701856,-2.5527937306882955,0.03893627459403,0.036531942723910096,4.7848174299,0.029700554197396173
LA0429-A,shade,high,amphi,2.9565413147701856,-1.5380399858560494,0.088528016121,0.018006682704367744,5.0446557133,0.01241558428383627
LA0429-A,shade,low,pseudohypo,2.8504415501587874,-2.2425884794541067,0.14120922208,0.024915699008726293,4.9405471328,0.015894188499084465
LA0429-A,shade,high,pseudohypo,2.8504415501587874,-1.9055333014897182,-0.083947042328,0.01298605591496636,4.9839176885,0.013373819319603911
LA0429-B,shade,low,amphi,2.9817776032424144,-2.5592408734508325,-0.047420746613798,0.030776682471192387,5.2304413795,0.028043463722549466
LA0429-B,shade,high,amphi,2.9817776032424144,-2.109595342882185,0.16914868128,0.0032284884981146553,4.8248995161,0.0019478574673481334
LA0429-B,shade,low,pseudohypo,2.899336022899481,-2.141980160286281,0.17333618056,0.020427675967869357,5.1200846553,0.013245623523418449
LA0429-B,shade,high,pseudohypo,2.899336022899481,-1.8813885969036352,0.090871058412,0.02443592536132667,4.8628618875,0.017048358697827875
LA0429-C,sun,low,amphi,3.061207217215069,-2.497728334225981,0.36091906075,0.013346173006146465,4.7255053356,0.007784961724182044
LA0429-C,sun,high,amphi,3.061207217215069,-1.7873651946147298,0.22442129903,0.009922882884737052,4.7977476536,0.005794698852563345
LA0429-C,sun,low,pseudohypo,2.9253155578612864,-2.2737423862617696,0.163575968024,0.020480259131559285,4.4676150953,0.012538788354204715
LA0429-C,sun,high,pseudohypo,2.9253155578612864,-1.3225017747059657,0.27227606035,0.014666487117859794,5.0328833920000005,0.008045692257742787
LA0429-D,sun,low,amphi,3.047407369240961,-3.057480726738527,0.097736890262,0.014690611514978788,4.5292739908,0.010344242471850297
LA0429-D,sun,high,amphi,3.047407369240961,-1.7353285847838733,0.29366733159,0.004668323640691632,4.786992576,0.0029213189919515253
LA0429-D,sun,low,pseudohypo,2.92206430705081,-2.248521774737246,0.141280409337,0.018140684319111148,4.5183645213,0.012031848854183885
LA0429-D,sun,high,pseudohypo,2.92206430705081,-1.5344070010229085,0.20413050411,0.01191680718861916,4.997788919,0.007877146044030042
LA0429-E,shade,low,amphi,2.9148498223059125,-2.265621171624137,0.036864312570179,0.019009807560536312,4.9502964279,0.01462000776171697
LA0429-E,shade,high,amphi,2.9148498223059125,-1.8077350339131464,-0.160620810933,0.04132726896572169,4.9740623971,0.043287348838702354
LA0429-E,shade,low,pseudohypo,2.8758303050985066,-2.2432339595170907,0.0178579885421687,0.02738870085447304,5.0041513883,0.020291562657616613
LA0429-E,shade,high,pseudohypo,2.8758303050985066,-1.8109502566502198,-0.0863601305275,0.02463568094345047,5.0134277956,0.027235501724509593
LA0429-G,sun,low,amphi,3.003351345627767,-3.7273609492971973,-0.0575479173891,0.019876515155013142,4.2838020906,0.015305704753263928
LA0429-G,sun,high,amphi,3.003351345627767,-2.495277104159517,0.149583145026,0.013356480091300449,4.8097742083,0.009374460214900997
LA0429-G,sun,low,pseudohypo,2.922445931854238,-3.6655641645161503,-0.03107647794777,0.012161900001146862,5.482341869,0.03594043959042087
