accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA3778,sun,amphi,high,9,fgmax,0.1446019913592324,0.12612335588032478,0.16647545570853145
LA3778,sun,amphi,low,8,fgmax,0.056250990171705345,0.04720212800052637,0.06792983987416122
LA3778,sun,pseudohypo,high,9,fgmax,0.05245780142351925,0.046460441773508866,0.058933368366069494
LA3778,sun,pseudohypo,low,8,fgmax,0.025135622999748794,0.021253096544215738,0.030111595239600282
LA4116,shade,amphi,high,8,fgmax,0.18657864589110829,0.16176520326311905,0.21751254162981706
LA4116,shade,amphi,low,8,fgmax,0.11250350244250633,0.09007194825196722,0.13930467222770862
LA4116,shade,pseudohypo,high,7,fgmax,0.09845677446897909,0.08603968866203626,0.1127275741244908
LA4116,shade,pseudohypo,low,8,fgmax,0.06697256641057363,0.05484048735362071,0.0807768229727071
LA4116,sun,amphi,high,9,fgmax,0.18393310780675298,0.1589312633274184,0.2144229508005965
LA4116,sun,amphi,low,7,fgmax,0.08157998796227833,0.06604980277590611,0.10089492930938476
LA4116,sun,pseudohypo,high,8,fgmax,0.0769024129653406,0.06758131219305438,0.08853148170440993
LA4116,sun,pseudohypo,low,7,fgmax,0.04088988954013161,0.033426205861855005,0.049841492705579284
LA4117A,shade,amphi,high,8,fgmax,0.18157046249561343,0.15520610355137854,0.21186991089722956
LA4117A,shade,amphi,low,9,fgmax,0.08076883393418334,0.06747846989514662,0.09973715499339794
LA4117A,shade,pseudohypo,high,7,fgmax,0.10461468669851746,0.09190121606289423,0.1197672885004999
LA4117A,shade,pseudohypo,low,9,fgmax,0.05520822655553793,0.04574256778016845,0.06809185595355637
LA4117A,sun,amphi,high,9,fgmax,0.17884036207381382,0.151707626761707,0.20778237789774218
LA4117A,sun,amphi,low,7,fgmax,0.05871484403350304,0.04867325976473134,0.0714368526561039
LA4117A,sun,pseudohypo,high,9,fgmax,0.08152546773527493,0.07197381269104039,0.09355230372162845
LA4117A,sun,pseudohypo,low,7,fgmax,0.03370740629179862,0.027830758910634294,0.04163645064256143
LA4126,shade,amphi,high,10,fgmax,0.1789383067636905,0.1593259861103711,0.20142589974107314
LA4126,shade,amphi,low,10,fgmax,0.10314762236470494,0.08829988515464195,0.12125910563059113
LA4126,shade,pseudohypo,high,9,fgmax,0.10626312546702382,0.09558274148228313,0.11791113039603754
LA4126,shade,pseudohypo,low,10,fgmax,0.0637490650776352,0.05517048418495714,0.0744031256202994
LA4126,sun,amphi,high,11,fgmax,0.17531537896433666,0.15668299476070885,0.19834163721899573
LA4126,sun,amphi,low,11,fgmax,0.07524950638819367,0.06410030877400205,0.08857071289222776
LA4126,sun,pseudohypo,high,11,fgmax,0.08300541004870912,0.07450900117529578,0.09209272846441614
LA4126,sun,pseudohypo,low,11,fgmax,0.03902150927546373,0.03356919415993194,0.045121002816333994
LA0107,shade,amphi,high,8,gcl,18.00122703168954,17.26711730272186,18.774036295531424
LA0107,shade,amphi,low,8,gcl,18.304372654062036,17.57720841991095,19.08892527494311
LA0107,shade,pseudohypo,high,8,gcl,18.821961472598822,18.080795198233105,19.533379873218568
LA0107,shade,pseudohypo,low,8,gcl,18.733906479694422,17.998341765255464,19.5051527197035
LA0107,sun,amphi,high,9,gcl,19.963884185032143,19.14798760013715,20.81705162652541
LA0107,sun,amphi,low,9,gcl,20.267768308418763,19.45614753669622,21.131292729035426
LA0107,sun,pseudohypo,high,9,gcl,21.57259092287896,20.703395672134796,22.37199835880487
LA0107,sun,pseudohypo,low,9,gcl,21.430916173824592,20.604645271684433,22.29544204680232
